category,type,character,text,action
Chapter3_3,대화,외계인1,그렇구나.\n회사는 어떤 곳이야?, 
Chapter3_3,대화,지구인3,복잡하지만...,
Chapter3_3,대화,지구인3,쉽게 말하자면\n돈 버는 곳이죠.,
Chapter3_3,대화,외계인1,우와 그렇구나!\n그럼 돈을 벌면 뭘 해요?,
Chapter3_3,대화,지구인3,뭐.. 예를 들면\n저는 첫 월급으로,
Chapter3_3,대화,지구인3,당시 가장 좋은 최신 기종 카메라를 샀었던..,
Chapter3_3,선택지2,,(카메라가 궁금해!)\n평소에 사진 찍으러 자주 다니겠다!,Chapter3_4
Chapter3_3,,,(회사가 궁금해) 돈을 벌고\n카메라를 산 다음엔 뭘 해요?,Chapter3_5
Chapter3_4,대화,외계인1,평소에 사진 찍으러\n자주 다니겠다!,
Chapter3_4,대화,지구인3,그렇지도 않아요. 시간도 없고..,
Chapter3_4,연결,,,Move_Chapter3_6
Chapter3_5,대화,외계인1,돈을 벌고 카메라를\n산 다음엔 뭘 해요?,
Chapter3_5,대화,지구인3,열심히 찍으러 다녔죠.\n지금은 시간이 없지만...,
Chapter3_5,연결,,,Move_Chapter3_6
Chapter3_6,대화,지구인3,옛날에 정기출사 다녔을 때가 좋았는데..,
Chapter3_6,대화,지구인3,옛날에 정기출사\n다녔을 때가 좋았는데..,
Chapter3_6,선택지2,,(옛날?) 사진을 옛날부터 찍었어?,Chapter3_7
Chapter3_6,,,(시간?) 직장인들은 다 시간이 없어?,Chapter3_8
Chapter3_7,대화,외계인1,사진을 옛날부터 찍었어?,
Chapter3_7,대화,지구인3,오래된 취미라..,
Chapter3_7,연결,,,Move_Chapter3_9
Chapter3_8,대화,외계인1,직장인들은 다 시간이 없어?,
Chapter3_8,대화,지구인3,아무래도 그렇죠.\n근데 심지어,
Chapter3_8,연결,,,Move_Chapter3_9
Chapter3_9,대화,지구인3,고민을 CHAT MPT에 말했더니\n회사에 가라고 했죠..,
Chapter3_9,대화,지구인3,고민을 CHAT MPT에 말했더니\n회사에 가라고 했죠..,
Chapter3_9,대화,외계인1,언제든 마음만 있으면\n가능하지 않을까요?,
Chapter3_9,대화,외계인1,지금도 늦지 않았어요!,
Chapter3_9,대화,지구인3,....,
Chapter3_9,연결,,,Move_Chapter3_10
Chapter3_10,대화,지구인3,그럼 당당히...ㅎ,
Chapter3_10,대화,지구인3,그럼 당당히...ㅎ,
Chapter3_10,대화,지구인3,지금은 가을이니까\n단풍을 찍고 싶은\n마음이 넘치긴 했죠..,
Chapter3_10,대화,외계인1,오~ 좋아 보여요!,
Chapter3_10,선택지2,,(마지막 잎새에 대해)\n혹시 마지막 잎새에 대해 아시나요?,Chapter3_11
Chapter3_10,,,(코드네임에 대해)\nLAST LEAF라는 코드네임을 아시나요?,Chapter3_12
Chapter3_11,대화,외계인1,혹시 마지막 잎새에 대해 아시나요?,
Chapter3_11,연결,,,Move_Chapter3_13
Chapter3_12,대화,외계인1,LAST LEAF라는\n코드네임을 아시나요?,
Chapter3_12,연결,,,Move_Chapter3_13
Chapter3_13,대화,지구인3,네@ 동료분들 얘기하는 거 얼핏 얼핏.,
Chapter3_13,대화,지구인3,네@ 동료분들 얘기하는 거 얼핏 얼핏.,
Chapter3_13,대화,지구인3,마지막 잎새라고 전해지는 코드네임.. LAST LEAF..?,
Chapter3_13,대화,지구인3,그걸 회로 안에서 순서를 잘 선택해야 한다고 하더군요.,
Chapter3_13,대화,지구인3,그러고 나면 최종적인\n뭐가 뜬다고는 하는데\n거기까진 잘..,
Chapter3_13,대화,외계인1,이것만으로도 충분해!\n고마워!!,
Chapter3_13,대화,지구인3,나도 고맙습니다.,
Chapter3_13,대화,지구인3,일정 보고 바로 출사..\n갑니다.. ㅎ,
Chapter3_13,대화,외계인1,(자@ 3단계 매뉴얼을\n실행해봐야지!),
Chapter3_13,연결,,,Hint3_Canvas_On
Outro,하단,외계인1,와아- 이게 바로\n그토록 찾아 왔던\n지구의 모습이라니..!,
Outro,하단,외계인1,듣던 대로 참 아름답다.,
Outro,하단,외계인1,역시. 난 믿었어@\n마지막까지 희망을\n놓지 않았다고!,
Outro,하단,외계인1,나의 희망, '단풍'!!\n널 데리고 가서 이 기쁨을\n다른 외계친구들에게 전해주고 싶다.,
Outro,하단,외계인1,그럼 잘 있어, 지구야~\n지구인들 안녕~~,
Outro,연결,,,Ending_CutScene_On
